ID ACB,Nombre ACB,ID Eurocup,Nombre Eurocup,ID Euroleague,Nombre Euroleague,ID Saporta,Nombre Saporta,ID Copa del Rey,Nombre Copa del Rey
20201053,J. Rodilla,BND,"RODILLA, JOSE IGNACIO",,,24937,"Rodilla Gil, J.",20201053,J. Rodilla
20201266,A. Llopis,,,,,,,,
20200889,D. Alvarez,,,,,,,,
20201380,P. García,,,,,,,,
20201311,K. Lynch,,,,,,,,
20201457,A. Swinson,,,,,,,20201457,A. Swinson
20201470,B. Alvarez,,,,,31426,"Alvarez Merino, B.",20201470,B. Alvarez
20200711,I. Zubizarreta,,,,,,,20200711,I. Zubizarreta
20201458,M. Keane,,,,,,,,
20201385,J. Maluenda,,,,,23717,"Maluenda Benedi, J.",20201385,J. Maluenda
20201493,M. Bragg,,,,,,,,
20201492,R. Burgos,,,,,22473,"Burgos Lopez, R.",20201492,R. Burgos
20201066,S. Radunovic,,,,,,,20201066,S. Radunovic
20201506,C. Rozier,,,,,,,,
20201507,T. Bell,,,,,,,,
20200305,T. Perry,,,,,,,20200305,T. Perry
20200405,R. Fox,,,,,,,20200405,R. Fox
20200450,J. Burke,,,,,,,,
20200341,P. Burke,,,,,,,,
20201119,A. Albert,,,,,11236,"Albert Garcia, A.",20201119,A. Albert
20200334,B. Hopkins,BNE,"HOPKINS, BERNARD",,,29374,"Hopkins, B.",20200334,B. Hopkins
20201322,R. Sellers,,,,,13954,"Sellers, W.",20201322,R. Sellers
20201494,B. Varner,,,,,,,20201494,B. Varner
20200385,I. Oduok,,,,,,,,
0,I. Martorell,,,,,22979,"Martorell Fos, I.",,
20201305,T. Beard,,,,,18311,"Beard, T.",20201305,T. Beard
20201228,N. Markovic,,,,,11429,"Markovic Zoric, N.",20201228,N. Markovic
20200430,A. Tortajada,,,,,,,,
20200372,D. Alston,,,,,26757,"Alston, D.",20200372,D. Alston
20200523,H. Occansey,,,,,2393,"Occansey, H.",,
20200946,J. Millera,,,,,23994,"Millera Mas, J.",20200946,J. Millera
20201284,P. Durham,,,,,7410,"Durham, P.",20201284,P. Durham
20200566,A. Pleuger,,,,,,,20200566,A. Pleuger
20200568,J. Amador,,,CQT,"AMADOR, JOSE",,,,
